"V1","V2","V3","V4","V5","V6","V7","V8","fault"
0.8047,0.5099,0.16727,5.6039,11.65,0.1996,0.038565,0.018946,"Ball_007_1"
0.69974,0.4153,0.15855,5.826,10.998,0.17323,0.030258,0.0044393,"Ball_007_1"
0.71199,0.39631,0.22004,6.4075,12.993,0.19057,0.035184,0.0077191,"Ball_007_1"
0.64641,0.53721,0.18181,6.6822,13.015,0.18378,0.029033,0.0044469,"Ball_007_1"
0.48758,0.61893,0.2058,5.5083,10.93,0.19598,0.034831,0.0059988,"Ball_007_1"
0.68677,0.45691,0.2379,6.4703,12.428,0.17628,0.031286,0.0074298,"Ball_007_1"
0.81449,0.47517,0.18304,4.9306,9.1995,0.18107,0.031176,0.0063842,"Ball_007_1"
0.70225,0.4564,0.18375,6.6233,13.575,0.19075,0.033936,0.0096461,"Ball_007_1"
0.70633,0.37684,0.18713,6.0585,11.963,0.18624,0.026562,0.0057598,"Ball_007_1"
0.66763,0.50983,0.19673,6.6081,13.187,0.1929,0.033683,0.0078039,"Ball_007_1"
0.54843,0.49572,0.18675,5.7626,10.281,0.33765,0.061677,0.032755,"Ball_007_1"
0.70288,0.62973,0.20432,5.8684,11.891,0.19708,0.041798,0.0097931,"Ball_007_1"
0.77043,0.42921,0.16311,5.6415,10.15,0.15981,0.026349,0.0083133,"Ball_007_1"
0.61711,0.52329,0.15796,5.8302,11.862,0.17498,0.029137,0.0055531,"Ball_007_1"
0.79497,0.36024,0.18828,6.5748,10.713,0.18609,0.033752,0.0093541,"Ball_007_1"
0.61738,0.50912,0.18363,6.9834,14.2,0.23068,0.033985,0.010877,"Ball_007_1"
0.66141,0.50666,0.18052,6.1512,10.227,0.18985,0.038938,0.016439,"Ball_007_1"
0.84055,0.70221,0.20802,6.3972,13.443,0.2806,0.056518,0.025088,"Ball_007_1"
0.58128,0.35418,0.2037,6.5452,12.024,0.16188,0.029576,0.0057219,"Ball_007_1"
0.85416,0.56349,0.20101,6.8631,14.052,0.1799,0.028087,0.007489,"Ball_007_1"
0.64668,0.37367,0.18517,6.106,10.732,0.13891,0.024895,0.004283,"Ball_007_1"
0.71309,0.46341,0.2096,6.2729,12.135,0.1843,0.029194,0.0039388,"Ball_007_1"
0.70934,0.57555,0.214,6.3609,11.461,0.192,0.038664,0.012038,"Ball_007_1"
0.84776,0.57662,0.17895,6.3196,13.03,0.16525,0.028368,0.0074247,"Ball_007_1"
0.61781,0.40597,0.16359,5.6379,10.501,0.15061,0.029948,0.0065658,"Ball_007_1"
0.77429,0.50909,0.17762,6.0923,11.6,0.17682,0.03179,0.0049688,"Ball_007_1"
0.64375,0.3762,0.1383,6.24,10.73,0.1623,0.042854,0.0092624,"Ball_007_1"
0.55213,0.43007,0.15858,6.217,11.043,0.19522,0.032514,0.0084431,"Ball_007_1"
0.88746,0.60846,0.15229,5.9726,11.278,0.16178,0.029335,0.0064493,"Ball_007_1"
0.60887,0.56345,0.17672,5.9538,10.311,0.16283,0.033018,0.0045961,"Ball_007_1"
0.79331,0.45234,0.16316,5.2366,11.038,0.20555,0.035389,0.0059758,"Ball_007_1"
0.69594,0.49611,0.17041,5.495,10.43,0.17467,0.033969,0.0059061,"Ball_007_1"
0.72075,0.39801,0.1535,5.9463,12.008,0.15757,0.032414,0.0061034,"Ball_007_1"
0.77655,0.44649,0.16747,5.8535,11.75,0.17921,0.033685,0.0041316,"Ball_007_1"
0.80009,0.52083,0.14973,5.87,10.982,0.18236,0.029056,0.0030778,"Ball_007_1"
0.67682,0.57083,0.17285,7.2084,14.753,0.18895,0.036227,0.0066539,"Ball_007_1"
0.73579,0.42225,0.1644,6.0815,11.716,0.16067,0.029676,0.0057638,"Ball_007_1"
0.67071,0.481,0.21557,6.6964,11.921,0.18213,0.036405,0.0064139,"Ball_007_1"
0.67983,0.49115,0.18872,6.3357,12.294,0.18244,0.035259,0.0099444,"Ball_007_1"
0.89112,0.4312,0.15994,5.8435,10.895,0.16245,0.028645,0.0060592,"Ball_007_1"
0.78161,0.49697,0.16609,6.0819,12.167,0.18975,0.02938,0.0053792,"Ball_007_1"
0.61876,0.54537,0.1639,6.2426,12.124,0.17123,0.028499,0.0040249,"Ball_007_1"
0.77373,0.51794,0.21607,5.9668,11.42,0.18894,0.037184,0.008183,"Ball_007_1"
0.6424,0.42377,0.19712,6.2406,12.521,0.17753,0.030373,0.0062693,"Ball_007_1"
0.83922,0.53926,0.19373,5.7232,11.886,0.17106,0.028785,0.006537,"Ball_007_1"
0.81487,0.32706,0.17773,5.9721,11.191,0.20937,0.050706,0.017009,"Ball_007_1"
0.76025,0.51808,0.18185,5.5906,11.828,0.17789,0.030191,0.0061991,"Ball_007_1"
0.71222,0.51759,0.17293,6.7632,14.283,0.20372,0.039353,0.010434,"Ball_007_1"
0.59745,0.55436,0.1887,6.2812,13.276,0.16122,0.021642,0.0044498,"Ball_007_1"
0.75166,0.40921,0.18011,6.4671,13.322,0.20626,0.032216,0.005915,"Ball_007_1"
0.73478,0.58237,0.16823,5.327,10.855,0.16863,0.034278,0.0059615,"Ball_007_1"
0.88842,0.29696,0.16524,7.3054,14.282,0.21376,0.027928,0.0043597,"Ball_007_1"
0.71098,0.52604,0.15956,6.4463,12.786,0.17594,0.039737,0.011128,"Ball_007_1"
0.84195,0.56079,0.15108,6.4724,11.184,0.1903,0.053397,0.013556,"Ball_007_1"
0.5698,0.53598,0.20005,6.336,12.675,0.1791,0.026921,0.0061765,"Ball_007_1"
0.78473,0.41064,0.18536,6.4931,11.346,0.19661,0.038788,0.014619,"Ball_007_1"
0.8378,0.51691,0.1693,5.6864,10.899,0.17644,0.033722,0.0074653,"Ball_007_1"
0.73069,0.37553,0.15748,6.0829,10.589,0.2034,0.042356,0.011006,"Ball_007_1"
0.82545,0.52171,0.16811,6.4112,12.836,0.19058,0.037489,0.0060832,"Ball_007_1"
0.69636,0.50977,0.16988,5.1982,10.222,0.20343,0.029478,0.0054606,"Ball_007_1"
0.65223,0.57266,0.20521,6.2288,12.026,0.21147,0.031359,0.0063055,"Ball_007_1"
0.80781,0.46992,0.15677,5.8571,11.541,0.20052,0.029117,0.0062727,"Ball_007_1"
0.84819,0.56125,0.17645,6.0466,12.19,0.19997,0.028484,0.0075514,"Ball_007_1"
0.75282,0.39713,0.16225,6.2733,12.99,0.19539,0.035933,0.01333,"Ball_007_1"
0.59307,0.40732,0.145,6.3398,12.822,0.17227,0.032144,0.0056318,"Ball_007_1"
0.81754,0.50064,0.19972,7.1082,14.663,0.15656,0.025289,0.0040207,"Ball_007_1"
0.71695,0.61098,0.20792,5.0729,9.3927,0.17722,0.036878,0.012132,"Ball_007_1"
0.80721,0.50516,0.21419,6.0297,10.27,0.18803,0.03719,0.010309,"Ball_007_1"
0.66589,0.47704,0.16876,6.4537,13.376,0.21603,0.038661,0.011177,"Ball_007_1"
0.80937,0.47639,0.21992,6.4452,11.857,0.24694,0.03725,0.010483,"Ball_007_1"
0.60443,0.36174,0.17617,6.1995,11.87,0.21468,0.028628,0.0067022,"Ball_007_1"
0.68248,0.52475,0.16546,7.0645,14.67,0.21035,0.03763,0.0063618,"Ball_007_1"
0.836,0.59827,0.19677,6.3497,11.229,0.17692,0.030774,0.005005,"Ball_007_1"
0.68157,0.53671,0.20196,6.8387,13.515,0.18365,0.036129,0.014699,"Ball_007_1"
0.80846,0.44609,0.15621,6.295,11.977,0.23476,0.039533,0.010293,"Ball_007_1"
0.64087,0.4341,0.16632,5.386,10.23,0.14965,0.03139,0.008776,"Ball_007_1"
0.76436,0.34867,0.14363,7.1127,12.908,0.2358,0.039358,0.010518,"Ball_007_1"
0.74024,0.52968,0.1569,6.0021,11.923,0.15641,0.027228,0.0048378,"Ball_007_1"
0.89256,0.5941,0.14591,5.2076,11.654,0.18649,0.030503,0.00811,"Ball_007_1"
0.69694,0.54273,0.19947,5.7218,11.714,0.18748,0.025396,0.0053396,"Ball_007_1"
0.74728,0.43745,0.16629,5.6352,12.144,0.19886,0.029462,0.0066563,"Ball_007_1"
0.83336,0.49405,0.14796,6.3501,13.012,0.16509,0.032986,0.011133,"Ball_007_1"
0.81415,0.36724,0.17952,7.1394,12.914,0.1986,0.03448,0.0057668,"Ball_007_1"
0.75391,0.52369,0.19392,7.237,14.097,0.16098,0.035971,0.0085446,"Ball_007_1"
0.75873,0.63845,0.21201,7.2195,13.246,0.15908,0.029294,0.0036202,"Ball_007_1"
0.69369,0.61856,0.18346,5.8792,12.135,0.19015,0.032527,0.0074751,"Ball_007_1"
0.79631,0.35628,0.15816,6.1403,12.808,0.15325,0.029103,0.0054703,"Ball_007_1"
0.74239,0.57516,0.14853,5.7048,12.203,0.18767,0.033333,0.0075282,"Ball_007_1"
0.90693,0.34845,0.1847,5.1688,10.72,0.18236,0.026632,0.006047,"Ball_007_1"
0.71623,0.44621,0.15579,6.3433,12.555,0.17938,0.029269,0.0048321,"Ball_007_1"
0.75461,0.53011,0.17241,6.2606,12.162,0.15531,0.02444,0.0054195,"Ball_007_1"
0.63944,0.61506,0.19851,5.9825,11.489,0.16437,0.036578,0.0061941,"Ball_007_1"
0.86144,0.43739,0.16087,5.3624,10.482,0.17609,0.029299,0.0061158,"Ball_007_1"
0.76983,0.56354,0.1761,6.4677,11.303,0.17336,0.031306,0.007148,"Ball_007_1"
0.92475,0.38722,0.19249,6.3781,11.489,0.15275,0.031831,0.0065959,"Ball_007_1"
0.82421,0.35558,0.14311,5.4848,10.361,0.1745,0.03317,0.0037735,"Ball_007_1"
0.65127,0.58473,0.17899,7.1675,13.316,0.19218,0.044993,0.011577,"Ball_007_1"
0.79373,0.57164,0.17897,6.0976,12.059,0.23064,0.035908,0.0058196,"Ball_007_1"
0.68396,0.40108,0.15219,5.4107,10.902,0.23288,0.040591,0.01221,"Ball_007_1"
0.7934,0.49312,0.16986,5.8154,12.052,0.16802,0.035052,0.009843,"Ball_007_1"
0.86458,0.46685,0.18341,5.7807,12.276,0.22078,0.036114,0.0063397,"Ball_007_1"
0.8669,0.39039,0.15409,5.7842,10.631,0.16055,0.027229,0.0050136,"Ball_007_1"
0.67382,0.59584,0.15215,6.5416,13.878,0.20584,0.044305,0.011994,"Ball_007_1"
0.68585,0.59439,0.16524,5.8195,11.227,0.28767,0.050661,0.016095,"Ball_007_1"
0.70059,0.48233,0.1413,6.3621,11.623,0.16646,0.031126,0.0071708,"Ball_007_1"
0.89698,0.46194,0.17155,6.4361,12.374,0.27302,0.051918,0.017201,"Ball_007_1"
0.75681,0.46106,0.15195,7.3102,13.457,0.21666,0.0385,0.013987,"Ball_007_1"
