"max","min","mean","sd","rms","skewness","kurtosis","crest","form","fault"
"0.35986","-0.4189","0.0178404615917969","0.122746393739283","0.1240064614036","-0.118571177953009","-0.0422192362415159","2.90194555934286","6.95085498575995","Ball_007_1"
"0.46772","-0.36111","0.0222547985693359","0.132487982381237","0.134312213525282","0.174698897226241","-0.0815475723724686","3.48233409102411","6.03520239047888","Ball_007_1"
"0.46855","-0.43809","0.0204702956054688","0.149650511997173","0.15100785923242","0.0403389535040056","-0.274068941842734","3.10281863726605","7.37692616378619","Ball_007_1"
"0.58475","-0.54303","0.0209597297949219","0.157067463672051","0.158421754904881","-0.0232661286769481","0.134692325939394","3.69109659434774","7.55838727192294","Ball_007_1"
"0.44685","-0.57891","0.0221673441357422","0.138188796289513","0.139922157920744","-0.0815336788586023","0.402783305604845","3.19356138184425","6.31208488774874","Ball_007_1"
"0.43726","-0.44435","0.0211192745117188","0.138763372626031","0.140327813883771","-0.131328677344107","-0.168557468476016","3.11598953834034","6.64453761448599","Ball_007_1"
"0.45353","-0.49129","0.0214640222363281","0.138461383829647","0.140081754528684","-0.114174680280226","0.308106789277399","3.23760936266067","6.52635153776507","Ball_007_1"
"0.43955","-0.45228","0.020860203203125","0.150120010555445","0.151526109076997","-0.0219554713919627","-0.272298053513555","2.90082021294856","7.26388461327631","Ball_007_1"
"0.49233","-0.37217","0.0202439853466797","0.145360927278869","0.146728663993555","0.0741735216830986","-0.42181405408878","3.35537710628664","7.24801275444615","Ball_007_1"
"0.37154","-0.49087","0.0181045006445313","0.136392913373071","0.137556229421983","-0.136237478063497","-0.0978886529997336","2.70100453873464","7.59790242894847","Ball_007_1"
"0.38761","-0.34776","0.0177197979638672","0.126351146266352","0.127557078133355","-0.0546685577856968","-0.350091812478088","3.03871808348239","7.19856278234429","Ball_007_1"
"0.47606","-0.40763","0.0176769973535156","0.136432240251778","0.137539607631476","0.0381064415279491","0.170824225271333","3.46125751118585","7.78071099298556","Ball_007_1"
"0.48232","-0.45708","0.0171106349658203","0.141844798749575","0.142838708228557","0.0571544521928166","-0.0270174652286395","3.37667573434112","8.34794901030191","Ball_007_1"
"0.40346","-0.39366","0.0183971230273438","0.127683665660758","0.128971361569858","-0.0108139463790106","0.186027667063593","3.12829139034455","7.01040925682601","Ball_007_1"
"0.47689","-0.38344","0.0179966627490234","0.136439895680614","0.137588645008617","-0.00435719336593762","-0.0998904969779986","3.46605637383908","7.64523105907974","Ball_007_1"
"0.6634","-0.51319","0.0170486421337891","0.14245255882839","0.14343458144761","0.144587437144776","1.3297098198735","4.62510500121137","8.41325545588959","Ball_007_1"
"0.41243","-0.46459","0.0182804631005859","0.13655862511035","0.137743703407559","-0.0228926722420712","0.0273684571459163","2.99418405195404","7.53502264410051","Ball_007_1"
"0.41827","-0.40576","0.0186456715478516","0.134088600699942","0.135346350999754","0.0165426923346252","-0.107185351879204","3.09036776322666","7.25886169626051","Ball_007_1"
"0.4963","-0.55325","0.0183376094189453","0.150014861018867","0.151095128778435","-0.0463670944204246","0.100054102225516","3.28468564150583","8.23963065885419","Ball_007_1"
"0.48315","-0.39887","0.0174006754492187","0.151353908453438","0.152314160735663","0.145355784863228","0.0864874859461451","3.17206225387339","8.75334760309557","Ball_007_1"
"0.4431","-0.36445","0.0176378120166016","0.136373160573791","0.137475999575332","0.0555494802562954","-0.22285078456582","3.22310804335848","7.79439079211939","Ball_007_1"
"0.42265","-0.43204","0.0193913777050781","0.143228162830899","0.144500226317928","-0.0952516717166953","-0.0611970297011739","2.9249089137763","7.45177720302394","Ball_007_1"
"0.44873","-0.48858","0.0198699762451172","0.137185342616839","0.138583710516465","-0.0954811822444424","0.134103400842576","3.23797074221567","6.97452824336014","Ball_007_1"
"0.41994","-0.37655","0.0197418406445313","0.128774022522805","0.130247426475106","-0.0793225444002995","-0.0784889459819702","3.22417118990266","6.5975320549042","Ball_007_1"
"0.49254","-0.36967","0.0193501731689453","0.136231210366965","0.137565656673412","0.0746914159286222","-0.0365244134684573","3.58039943915156","7.10927263918175","Ball_007_1"
"0.4504","-0.42891","0.0179703036328125","0.136271008349496","0.137417801794692","-0.0764151677972832","-0.281602744304376","3.27759572717454","7.64693822667397","Ball_007_1"
"0.40179","-0.41139","0.0184605774853516","0.125567736407129","0.126887156528256","-0.0490344539911833","0.0413414443589146","3.16651433441594","6.87341209281997","Ball_007_1"
"0.44581","-0.39929","0.0206485601806641","0.13516166247407","0.136697175496873","-0.0669153822358359","-0.0763276637254369","3.26129635363387","6.62017953314149","Ball_007_1"
"0.43288","-0.45228","0.0190696225048828","0.13827048731448","0.139545844970108","-0.041621558457165","-0.0903171367149165","3.1020629821886","7.31770358508023","Ball_007_1"
"0.402","-0.36988","0.0196245370458984","0.136608788082721","0.137978154611736","-0.0496867925122675","-0.284962737354977","2.91350468580486","7.03089985200816","Ball_007_1"
"0.44122","-0.35882","0.0197314458300781","0.130813358735411","0.132261518377806","-0.000319418025847286","-0.121141210428675","3.33596654122518","6.70308296294182","Ball_007_1"
